product_number,mfg_number,title,long_description,short_description,image,image_file,product_details_materials_of_construction,product_details_connections,product_details_design,product_details_performance_data,product_details_packaging,product_drawings,product_drawings_file,technical_literature,technical_literature_files,category_number,categories
50980,50980,Cylinder Filter,,150u Cylinder,50980ph.jpg,http://filtertek.azurewebsites.net/images/products/50980ph.jpg,Filter Material: 150 micron ,,,"Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,20110,Cylinder Filters
56080,56080,Micro-Infusion Filter,"Designed to vent air from I.V. lines and prevent bacterial contamination from reaching the patient. Available in your choice of membrane pore sizes for  various applications, including critical-care neonate, pediatrics, chemotherapy, insulin-infusion and antibiotic therapy.","0.22u CA, .090"" ID Ports",56080ph.jpg,http://filtertek.azurewebsites.net/images/products/56080ph.jpg,"Filter Material: 0.22 micron, Cellulose Acetate Membrane 
Vent Media: 0.02 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Tubing 
Inlet: 0.170""od, (0.090""id w/taper lead in) Female & Male Combination 
Outlet: 0.170""od, (0.090""id w/taper lead in) Female & Male Combination","Overall Dimensions: 0.850"" dia x 1.51"" total length 
Effective Filtration Area: 1.7 cm2","Bubble point: 40.0 psig 
Minimum flow rate: >3 mL/min 
Maximum Operating Pressure: 45.0 psi 
Pressure rating: 45.0 psi 
Prime time: 1.2 seconds
Bacterial retention: 0.22 micron Bacterial Retention 
Filtration capacity: >500 mL with normal IV solution 
Hold up volume: <0.3 mL 
Usability: Disposable","Standard Pack: 4,000 pieces/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",56080drw.jpg,http://filtertek.azurewebsites.net/images/drawings/56080drw.jpg,,,20302,Micro-Infusion
56370,56370,Small Inline Filter,"Designed for use in a number of different applications, these products are available in various screen and port sizes. Customization is available in quantities over 20,000 pcs.","65u Sm Inline 1/4"" Ports",,,"Filter Material: 65 micron, Polyester Woven Screen 
Housing Material: Acetal","Type: Tubing 
Inlet: .25"" Barbed 
Outlet: .25"" Barbed","Overall Dimensions: 2.02"" Length,0.63"" Diameter","Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,90600,Inline Filters
56430,56430,Small Inline Filter,"Designed for use in a number of different applications, these products are available in various screen sizes and port configurations. The robust housing design withstands higher pressure situations and is resistant to alcohol and fuel. Customization is available in quantities over 20,000 pcs.","130u Sm Inline 1/4"" Ports",,,"Filter Material: 130 micron, Polyester Woven Screen 
Housing Material: Acetal  

Drug/Fluid Compatibility: Various Liquid, Fuel, Gas, Air","Type: Tubing 
Inlet: 1/4"" Barbed 
Outlet: 1/4"" Barbed","Overall Dimensions: .63"" major diameter x 2.02"" long ","Usability: Reusable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,90600,Inline Filters
60110,60110,17mm Filter,"Designed for air or gas venting and filtration,in applications such as transducer protection. Filtertek's 17mm hydrophobic filters are available with either tubing ports or luer lock connections for various venting applications.",0.2u Hydrophobic Filter,60110ph.jpg,http://filtertek.azurewebsites.net/images/products/60110ph.jpg,"Filter Material: 0.2 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO ",Type: Tubing,"Overall Dimensions: Diameter 1.03"", Length 1.08"", Hght 0.2""","Minimum flow rate: >250 mL/min @ 1.0 psi 
Pressure rating: >75 psi 
Water entry pressure: >15 psi for 5 sec. 
Hold up volume: < 60 micro liter (with air purge) 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,20910,Transducer Protectors
60440,60440,Micro-Infusion Filter,"Designed to vent air from I.V. lines and prevent bacterial contamination from reaching the patient. Available in your choice of membrane pore sizes for various applications, including critical-care neonate, pediatrics, chemotherapy, insulin-infusion and antibiotic therapy.","1.2u CA, .090"" ID Ports",56080ph.jpg,http://filtertek.azurewebsites.net/images/products/56080ph.jpg,"Filter Material: 1.2 micron, Cellulose Acetate Membrane 
Vent Media: .02 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Tubing 
Inlet: 0.170""od, (0.090""id w/taper lead in) Female & Male Combination 
Outlet: 0.170""od, (0.090""id w/taper lead in) Female & Male Combination","Overall Dimensions: 0.850"" dia x 1.51"" total length 
Effective Filtration Area: 1.7 cm2","Bubble point: 6.0 psig 
Minimum flow rate: 22 mL/min 
Maximum Operating Pressure: 45.0 psi 
Pressure rating: 45.0 psi 
Prime time: 1.2 seconds 
Bacterial retention: 1.2 micron Bacterial Retention 
Filtration capacity: >500 mL with normal IV solution 
Hold up volume: <0.25 mL 
Usability: Disposable","Standard Pack: 4,000 parts/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",56080drw.jpg,http://filtertek.azurewebsites.net/images/drawings/56080drw.jpg,,,20302,Micro-Infusion
60800,60800,25mm Filter,"Designed for venting and/or filtration in applications such as transducer protection, Filtertek's 25mm hydrophobic filters are available with a variety of pore sizes and media types for various venting and filtration applications.",0.2u Hydrophobic Filter,60800ph.jpg,http://filtertek.azurewebsites.net/images/products/60800ph.jpg,"Filter Material: 0.2 micron, Acrylic Copolymer Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO",Type: Combination Fittings,"Overall Dimensions: Diameter 1.36, Length .89""","Minimum flow rate: >350 mL/min @ 1.0 psi 
Pressure rating: >75 psi 
Water entry pressure: >20 psi for 5 sec. 
Hold up volume: < 60 micro liter (with air purge) 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,20910,Transducer Protectors
60860,60860,25mm Filter,"Designed for small volume HPLC, organic and aqueous sample preparation, and as part of intravenous drug delivery systems in the Healthcare Industry.",5.0u Hydrophilic Filter,60860ph.jpg,http://filtertek.azurewebsites.net/images/products/60860ph.jpg,"Filter Material: 5 micron, Acrylic Copolymer Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO",Type: Combination Fittings,,"Bubble point: >2.0 psi 
Minimum flow rate: >1.0 Lt/min @ 1.0 psi 
Pressure rating: >75 psi 
Water entry pressure: >5.0 psi for 10 seconds 
Hold up volume: <60 micro liter (with air purge) 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,20320,3mm Filters
61310,61310,17mm Filter,"Designed for air or gas venting and filtration,in applications such as transducer protection. Filtertek's 17mm hydrophobic filters are available with either tubing ports or luer lock connections for various venting applications.",0.2u Hydrophobic Filter,61310ph.jpg,http://filtertek.azurewebsites.net/images/products/61310ph.jpg,"Filter Material: 0.2 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO ",Type: Male-Female Luer Lock ,"Overall Dimensions: Diameter 1.03"", Length 0.08"", Hght .187"" ","Minimum flow rate: >200 mL/min @ 1.0 psi 
Pressure rating: >75 psi 
Water entry pressure: >10 psi for 5 sec. 
Hold up volume: < 60 micro liter (with air purge) 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,20910,Transducer Protectors
63800,63800,17mm Filter,"Designed for air or gas venting and filtration,in applications such as transducer protection. Filtertek's 17mm hydrophobic filters are available with either tubing ports or luer lock connections for various venting applications.",0.8u Hydrophobic Filter,63800ph.jpg,http://filtertek.azurewebsites.net/images/products/63800ph.jpg,"Filter Material: 0.8 micron, Acrylic Copolymer Membrane 
Housing Material: Acrylic ",Type: Male-Female Luer Lock,,"Minimum flow rate: >500 cc/min @ 1.0 psi (air) 
Pressure rating: >75 psi 
Water entry pressure: >0.5 psi for 5 seconds 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications. ",,,,,,20910,Transducer Protectors
63810,63810,17mm Filter,"Designed for air or gas venting and filtration,in applications such as transducer protection. Filtertek's 17mm hydrophobic filters are available with either tubing ports or luer lock connections for various venting applications.",5.0u Hydrophobic Filter,63810.jpg,http://filtertek.azurewebsites.net/images/products/63810.jpg,"Filter Material: 5 micron, ePTFE Membrane 
Housing Material: Acrylic ",Type: Male-Female Luer Lock,,"Minimum flow rate: >2 Lt/min @ 1.0 psi (air) 
Pressure rating: >75 psi 
Water entry pressure: >2.0 psi for 5 seconds 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications. ",,61310drw.jpg,http://filtertek.azurewebsites.net/images/drawings/61310drw.jpg,,,20910,Transducer Protectors
64260,64260,17mm Filter,"Designed for air or gas venting and filtration,in applications such as transducer protection. Filtertek's 17mm hydrophobic filters are available with either tubing ports or luer lock connections for various venting applications.",0.45u Hydrophobic Filter,64260ph.jpg,http://filtertek.azurewebsites.net/images/products/64260ph.jpg,"Filter Material: 0.45 micron, ePTFE Membrane 
Housing Material: Acrylic ",Type: Male-Female Luer Lock,,"Pressure rating: >75 psi 
Water entry pressure: >20 psi 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications. ",,,,,,20910,Transducer Protectors
64390,64390,17mm Filter,"Designed for air or gas venting and filtration,in applications such as transducer protection. Filtertek's 17mm hydrophobic filters are available with either tubing ports or luer lock connections for various venting applications.",5.0u Hydrophobic Filter,61310ph.jpg,http://filtertek.azurewebsites.net/images/products/61310ph.jpg,"Filter Material: 5 micron, ePTFE Membrane 
Housing Material: Acrylic",Type: Male-Female Luer Lock,,"Minimum flow rate: >1.0 Lt/min @ 1.0 psi 
Valve opening pressure: >75 psi 
Water entry pressure: >0.5 psi for 5 seconds 
Usability: Disposable  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,20910,Transducer Protectors
65390,65390,Micro-Infusion Filter,"Designed to vent air from I.V. lines and prevent bacterial contamination from reaching the patient. Available in your choice of membrane pore sizes for various applications, including critical-care neonate, pediatrics, chemotherapy, insulin-infusion and antibiotic therapy.","1.2u CA,.110"" ID Ports",56080ph.jpg,http://filtertek.azurewebsites.net/images/products/56080ph.jpg,"Filter Material: 1.2 micron, Cellulose Acetate Membrane 
Vent Media: .02 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Tubing 
Inlet: 0.170""od, (0.110""id w/taper lead in) Female & Male Combination 
Outlet: 0.170""od, (0.110""id w/taper lead in) Female & Male Combination","Overall Dimensions: 0.850"" dia x 1.51"" total length 
Effective Filtration Area: 1.7 cm2 ","Bubble point: 6.0 psig 
Minimum flow rate: 22 mL/min 
Maximum Operating Pressure: 45.0 psi 
Pressure rating: 45.0 psi 
Prime time: 1.2 seconds 
Bacterial retention: 1.2 micron Bacterial Retention 
Filtration capacity: >500 mL with normal IV solution 
Hold up volume: <0.25 mL 
Usability: Disposable","Standard Pack: 4,000 parts/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",65390drw.jpg,http://filtertek.azurewebsites.net/images/drawings/65390drw.jpg,,,20302,Micro-Infusion
65770,65770,Micro-Infusion Filter,"Designed to vent air from I.V. lines and prevent bacterial contamination from reaching the patient. Available in your choice of membrane pore sizes for  various applications, including critical-care neonate, pediatrics, chemotherapy, insulin-infusion and antibiotic therapy.","0.22u CA,.079"" ID Ports",56080ph.jpg,http://filtertek.azurewebsites.net/images/products/56080ph.jpg,"Filter Material: 0.22 micron, Cellulose Acetate Membrane 
Vent Media: 0.02 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Tubing 
Inlet: 0.170""od, (0.079""id w/taper lead in) Female & Male Combination 
Outlet: 0.170""od, (0.079""id w/taper lead in) Female & Male Combination","Overall Dimensions: 0.850"" dia x 1.51"" total length 
Effective Filtration Area: 1.7 cm2","Bubble point: 40.0 psig 
Minimum flow rate: >3 mL/min 
Maximum Operating Pressure: 45.0 psi 
Pressure rating: 45.0 psi 
Prime time: 1.2 seconds 
Bacterial retention: 0.22 micron Bacterial Retention 
Filtration capacity: >500 mL with normal IV solution 
Hold up volume: <0.3 mL 
Usability: Disposable","Standard Pack: 4,000 pieces/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications. ",65770drw.jpg,http://filtertek.azurewebsites.net/images/drawings/65770drw.jpg,,,20302,Micro-Infusion
66260,7003000,EuroValve,"Plastic check valve assemblies using USP Class VI plastics and valves designed for strength and performance   to meet the functioning requirements in infusion systems, IV lines, syringes, diagnostic equipment and other uses.",Low Opening Pressure,66260ph.jpg,http://filtertek.azurewebsites.net/images/products/66260ph.jpg,"Filter Material: Silicone Rubber Medium 
Housing Material: MABS  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Combination Fittings 
Inlet: 3mm Coaxial Coaxial
Outlet: Male luer lock Male Luer Lock","Overall Dimensions: 0.819"" x 0.472"" major diameter 
Valve Static Position: Normally Closed 
Position Sensitivity: None 
IP: Patent Pending","Air back check: </= 4.0 cc/min @ 6"" H2O Head Height 
Back flow: Zero 
Minimum flow rate: >/= 120 ml/min @ 36"" of H20 Head Height 
Maximum Flow Rate: >/= 300 mL/min @ 36"" of H2O Head Height 
Valve opening pressure: 50-100mm Wg. (2-4 in.) 
Pressure rating: 80 psid 
Usability: Disposable ","Standard Pack: 12,000 parts/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",7003000drw.jpg,http://filtertek.azurewebsites.net/images/drawings/7003000drw.jpg,,,20311,Check Valves
68300,7932003,EuroValve,"A normally closed checkvalve intended for critical infusions that uses a patented sealing mechanism. The valve's design provides zero backflow with minimal opening pressures for small-bottle drug infusions, maximizing drug use. International patents apply.",Low Opening Pressure,68300ph.jpg,http://filtertek.azurewebsites.net/images/products/68300ph.jpg,"Filter Material: Silicone Rubber Medium 
Housing Material: MABS  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Male-Female Luer Lock 
Inlet: Female luer lock Female Luer Lock 
Outlet: Male luer lock Male Luer Lock","Overall Dimensions: 0.935"" x 0.472"" major diameter 
Valve Static Position: Normally Closed 
Position Sensitivity: None 
IP: Patented","Minimum flow rate: >/= 200 ml/min @ 1m H20 Head Height 
Valve opening pressure: <15 cm Wg. (6 in.) 
Usability: Disposable","Standard Pack: 12,000 parts/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",68300drw.jpg,http://filtertek.azurewebsites.net/images/drawings/68300drw.jpg,,,20311,Check Valves
69400,69400,Micro-Infusion Filter,"Designed to vent air from I.V. lines and prevent bacterial contamination from reaching the patient. Available in your choice of membrane pore sizes for various applications, including critical-care neonate, pediatrics, chemotherapy, insulin-infusion and antibiotic therapy.","0.2u PES, .090"" ID Ports",56080ph.jpg,http://filtertek.azurewebsites.net/images/products/56080ph.jpg,"Filter Material: 0.2 micron, PES Membrane 
Vent Media: 0.02 Micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Tubing 
Inlet: .090"" ID Male Slip Luer 
Outlet: .090"" ID Male Slip Luer","Overall Dimensions: 0.850"" dia x 1.51"" total length 
Effective Filtration Area: 1.7 cm2","Bubble point: >40 psi (.22u) 
Minimum flow rate: >3 mL/min (.22u) 
Maximum Operating Pressure: 45.0 psi 
Pressure rating: 45.0 psi 
Prime time: 1.2 seconds 
Bacterial retention: 0.22 micron 96 hr. bacterial retentive 
Filtration capacity: >500 mL with normal I.V. solution 
Hold up volume: <0.2 mL (.22u) 
Usability: Disposable","Standard Pack: 4,000 pcs/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,20302,Micro-Infusion
69410,69410,Micro-Infusion Filter,,"1.2u PES, .090"" ID Ports",56080ph.jpg,http://filtertek.azurewebsites.net/images/products/56080ph.jpg,Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.,,,,,,,,,20302,Micro-Infusion
69910,8932000,3-Way Check Valve,The 3-Way Check Valve is developed for general medical use to administer liquids into the patient via an infusion pump or a syringe. One of the applications is in cardiology for drawing up cold fluid in a high pressure syringe for subsequent injection via a thermodulition catheter.,Dual Transfer Valve,69910ph.jpg,http://filtertek.azurewebsites.net/images/products/69910ph.jpg,"Filter Material: Silicone Rubber Medium 
Housing Material: MABS  

Biological Safety: USP XXIII Class VI Certified 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Male-Female Luer Lock 
Inlet: Female luer lock per ISO 594: 1991 Female Luer Lock 
Outlet: Male luer lock per ISO 594: 1991 Male Luer Lock","Overall Dimensions: 1.181""x0.394""diameter+0.472""lg tube port 
Valve Static Position: Normally Closed 
Position Sensitivity: None 
IP: Patent Pending","Back flow: After 15 min: </=0.1mL/hr@39.4"" H2O Head 
Maximum Operating Pressure: >/=435 psid (H2O), >/=145 psid (Air) 
Valve opening pressure: 4.0-6.0 psid Pressure Side 
Usability: Disposable","Standard Pack: 12,000 parts/carton (non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",8932000drw.jpg,http://filtertek.azurewebsites.net/images/drawings/8932000drw.jpg,,,20311,Check Valves
70150,70150,Micro-Infusion Filter,,"1.2u CA,.079"" ID Ports",56080ph.jpg,http://filtertek.azurewebsites.net/images/products/56080ph.jpg,"Filter Material: 1.2 micron, Cellulose Acetate Membrane 
Vent Media: 0.02 Micron, ePTFE Membrane 
Housing Material: Acrylic","Type: Tubing 
Inlet: .079"" ID Male Slip Luer 
Outlet: .079"" ID Male Slip Luer  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,,,,20302,Micro-Infusion
70520,70520,Micro-Infusion Filter,"Designed to vent air from I.V. lines and prevent bacterial contamination from reaching the patient. Available in your choice of membrane pore sizes for various applications, including critical-care neonate, pediatrics, chemotherapy, insulin-infusion and antibiotic therapy.","0.2u PES,.110"" ID Ports",56080ph.jpg,http://filtertek.azurewebsites.net/images/products/56080ph.jpg,"Filter Material: 0.22 micron, PES Membrane 
Vent Media: .02 micron, ePTFE Membrane 
Housing Material: Acrylic  

Biological Safety: USP Class VI Materials 
Sterilization Compatibility: Gamma Radiation, EtO","Type: Tubing 
Inlet: Available in various sizes Female & Male Combination 
Outlet: Available in various sizes Female & Male Combination ","Overall Dimensions: 0.850"" dia x 1.51"" total length 
Effective Filtration Area: 1.7 cm2","Bubble point: >40.0 psi (.22um) 
Minimum flow rate: >3 mL/min (.22um) and 22 mL/min (1.2um) 
Maximum Operating Pressure: 45.0 psi 
Pressure rating: 45.0 psi 
Prime time: 1.2 seconds
Bacterial retention: 0.22 micron 96 hr. bacterial retentive 
Filtration capacity: >500 mL with normal IV solution 
Hold up volume: <0.3 mL (.22 um) 
Usability: Disposable","Standard Pack: 4,000 parts/carton (bulk, non-sterile)  

Specifications are for pre-sterilized products and are subject to change without notice. Results in specific applications may vary. Filtertek recommends that end user confirm fitness in specific applications.",,,,,20302,Micro-Infusion
